"regime","param","emp_sd","ratio_unp_gn","ratio_sandwich","ratio_pen_gn"
"homo,   lambda=0","gamma_k",0.0367628878176333,0.99204040965331,0.831255419041373,0.99204040965331
"homo,   lambda=0","gamma_1",0.05484914178519,1.00905009398359,0.795946039138117,1.00905009398359
"homo,   lambda=0","gamma_2",0.245239453301709,0.836989182623356,0.172799791461013,0.836989182623356
"homo,   lambda=0","gamma_3",0.0583133600645078,0.950814909287152,0.661210423298917,0.950814909287152
"homo,   lambda=0","gamma_4",0.0824910866663517,0.890336532121455,0.512951659439427,0.890336532121455
"homo,   lambda=0","gamma_5",0.0642575044928996,0.979802128042883,0.857145604174575,0.979802128042883
"homo,   lambda=0","gamma_6",0.0845985784699133,0.985757072828172,0.801618454795858,0.985757072828172
"homo,   lambda=0","gamma_7",0.10641924425265,0.940036572101734,0.761020127922836,0.940036572101734
"homo,   lambda=0","gamma_8",0.0886379817273355,1.05415529563323,0.52498902087555,1.05415529563323
"homo,   lambda=0","gamma_9",0.0521644608209218,1.0530288764086,0.634180418238647,1.0530288764086
"homo,   lambda=0","gamma_10",0.034528779287137,0.967318858929556,0.534766386707216,0.967318858929556
"hetero, lambda=0","gamma_k",0.0408111158353191,1.17242717157361,0.87238455715751,1.17242717157361
"hetero, lambda=0","gamma_1",0.0730639003506866,0.970224743224699,0.763585574299668,0.970224743224699
"hetero, lambda=0","gamma_2",0.138956459520876,1.8881464927063,0.215280743536917,1.8881464927063
"hetero, lambda=0","gamma_3",0.0701199244133186,1.02770845184475,0.673051593084864,1.02770845184475
"hetero, lambda=0","gamma_4",0.139505686938415,0.679953698107233,0.437516950797159,0.679953698107233
"hetero, lambda=0","gamma_5",0.080990102906285,1.00850570608097,0.78624031656397,1.00850570608097
"hetero, lambda=0","gamma_6",0.122110173235596,0.899753130172104,0.777561974495896,0.899753130172104
"hetero, lambda=0","gamma_7",0.148194237931491,0.890416002451675,0.711865633107407,0.890416002451675
"hetero, lambda=0","gamma_8",0.129129718769621,0.931491291251489,0.553897076705164,0.931491291251489
"hetero, lambda=0","gamma_9",0.0779718503102366,0.927586757716499,0.472541352165551,0.927586757716499
"hetero, lambda=0","gamma_10",0.0375365551669756,1.16301402669706,0.567656791078558,1.16301402669706
"homo,   lambda=0.1","gamma_k",0.0304003440513117,1.24068757325521,1.02612122183985,1.02797959950028
"homo,   lambda=0.1","gamma_1",0.0429158383080109,1.34504469514323,1.0286627028722,1.06467713468183
"homo,   lambda=0.1","gamma_2",0.0494626888010669,4.6837919734631,2.88307953602231,1.57210104877557
"homo,   lambda=0.1","gamma_3",0.0491005063785548,1.14859190714373,0.805033783093694,0.987756651292259
"homo,   lambda=0.1","gamma_4",0.0431786413556762,2.03172314768238,2.13420031939866,1.16666447395561
"homo,   lambda=0.1","gamma_5",0.0513184836378308,1.26085189228581,1.07340756002036,1.03129355551567
"homo,   lambda=0.1","gamma_6",0.0587859636831237,1.43959286549711,1.1465548754942,1.06082719050786
"homo,   lambda=0.1","gamma_7",0.0764433413753523,1.26716333721195,1.073303641706,0.99444599153382
"homo,   lambda=0.1","gamma_8",0.0523689898804473,1.90294545413599,1.06078645732857,1.20260442192446
"homo,   lambda=0.1","gamma_9",0.04230402217605,1.33915098811343,0.789241666667189,1.12665599900662
"homo,   lambda=0.1","gamma_10",0.0286371221740938,1.24348319646264,0.797900173996428,1.03383794506354
"hetero, lambda=0.1","gamma_k",0.0333415634244015,1.48559098422394,1.07831612888107,1.22123197960557
"hetero, lambda=0.1","gamma_1",0.0573233458205459,1.29883759167825,1.00200712577043,1.03000593344763
"hetero, lambda=0.1","gamma_2",0.0297439515888941,10.112846125712,3.31167765740318,3.4406040237164
"hetero, lambda=0.1","gamma_3",0.0581586462933196,1.25270750647427,0.830741362981032,1.07230760147333
"hetero, lambda=0.1","gamma_4",0.0757181311410434,1.50647270294127,1.45242815891468,0.849174559934757
"hetero, lambda=0.1","gamma_5",0.0643859051869179,1.29876767465048,0.991484438475627,1.053266721901
"hetero, lambda=0.1","gamma_6",0.0843022564403726,1.29846804727325,1.13475843048813,0.962269875409563
"hetero, lambda=0.1","gamma_7",0.104952457754418,1.19217381666173,0.999367597403685,0.930527476254127
"hetero, lambda=0.1","gamma_8",0.074144589797562,1.74017893098064,1.04575827373732,1.08859022654341
"hetero, lambda=0.1","gamma_9",0.0650951626458973,1.13033679973607,0.584896938112288,0.947874875784911
"hetero, lambda=0.1","gamma_10",0.03098736771474,1.49442668697852,0.819620888620923,1.2470229670788
