"regime","param","emp_sd","ratio_unp_gn","ratio_sandwich","ratio_pen_gn"
"homo,   lambda=0","gamma_k",0.0410378295706815,0.93593730976052,0.779911360688306,0.93593730976052
"homo,   lambda=0","gamma_1",0.0593740968313117,1.05922868085612,0.655048371647781,1.05922868085612
"homo,   lambda=0","gamma_2",0.264383960902881,0.790187900733107,0.0599045066158371,0.790187900733107
"homo,   lambda=0","gamma_3",0.0646787237006735,0.938305810045348,0.642582434706547,0.938305810045348
"homo,   lambda=0","gamma_4",0.0535704837523668,0.990998261142471,0.680990758895182,0.990998261142471
"homo,   lambda=0","gamma_5",0.107472651465993,0.948960535393091,0.796029404911585,0.948960535393091
"homo,   lambda=0","gamma_6",0.0943871544127701,0.966586625432438,0.790466880587704,0.966586625432438
"homo,   lambda=0","gamma_7",0.0990569753990998,0.984300172628715,0.810369452205735,0.984300172628715
"homo,   lambda=0","gamma_8",0.0979454324211131,1.07092738269012,0.446678832693881,1.07092738269012
"homo,   lambda=0","gamma_9",0.051754329606659,1.03320537181223,0.682028968615147,1.03320537181223
"homo,   lambda=0","gamma_10",0.0349236048505415,1.01127074056973,0.541339222852954,1.01127074056973
"hetero, lambda=0","gamma_k",0.049480342653805,1.02198074279466,0.800178946479374,1.02198074279466
"hetero, lambda=0","gamma_1",0.085759199791811,0.968547427404443,0.574830065116384,0.968547427404443
"hetero, lambda=0","gamma_2",0.144874466672987,1.90211888557972,0.107289776134192,1.90211888557972
"hetero, lambda=0","gamma_3",0.0801166082038003,1.01550811692884,0.72147078074583,1.01550811692884
"hetero, lambda=0","gamma_4",0.0903489220587931,0.769723616631613,0.645833550779327,0.769723616631613
"hetero, lambda=0","gamma_5",0.137050648295022,0.975088752405005,0.744936953550015,0.975088752405005
"hetero, lambda=0","gamma_6",0.142884147173783,0.864197818407885,0.785074540252108,0.864197818407885
"hetero, lambda=0","gamma_7",0.144891384809197,0.899681251901645,0.682003499948045,0.899681251901645
"hetero, lambda=0","gamma_8",0.124767794149195,1.07275623517924,0.576255028129886,1.07275623517924
"hetero, lambda=0","gamma_9",0.076599753978934,0.918649771091644,0.577989026217793,0.918649771091644
"hetero, lambda=0","gamma_10",0.0410295097795154,1.14090441171526,0.602277847711113,1.14090441171526
"homo,   lambda=0.1","gamma_k",0.0329966651539943,1.20656508360135,0.996375481571494,0.973152603616515
"homo,   lambda=0.1","gamma_1",0.0431092081566665,1.52778299947181,0.936036341755583,1.16901172636509
"homo,   lambda=0.1","gamma_2",0.0502609692710075,4.73671194808553,2.72641483297616,1.5657242452954
"homo,   lambda=0.1","gamma_3",0.0531340619973031,1.15481422692266,0.786453218104514,0.97018542298585
"homo,   lambda=0.1","gamma_4",0.0348154239381678,1.72274507298048,1.58523026457676,1.18780688010479
"homo,   lambda=0.1","gamma_5",0.0636188066443715,1.64281313543702,1.34594516511067,1.06529459535213
"homo,   lambda=0.1","gamma_6",0.0625455929454281,1.48546296994244,1.18631730430733,1.05730811226832
"homo,   lambda=0.1","gamma_7",0.0722888562360808,1.29411019283431,1.06736436525279,1.02581118237302
"homo,   lambda=0.1","gamma_8",0.0526407115269072,2.09779752532809,1.07490760103261,1.25217902840805
"homo,   lambda=0.1","gamma_9",0.0414203854865157,1.31736974530727,0.871673785977615,1.10613414475953
"homo,   lambda=0.1","gamma_10",0.028362400659485,1.32377680805571,0.821581186545576,1.07879615749193
"hetero, lambda=0.1","gamma_k",0.0388992248372129,1.32666558371709,1.0423437459035,1.07994053556177
"hetero, lambda=0.1","gamma_1",0.0620915498546119,1.39161038733339,0.883706602075817,1.05173316879116
"hetero, lambda=0.1","gamma_2",0.0299498182809562,10.3126617862807,3.25111714753034,3.42849439365329
"hetero, lambda=0.1","gamma_3",0.0641507474111248,1.2459022208741,0.881489884950183,1.04945797580689
"hetero, lambda=0.1","gamma_4",0.0596945338074022,1.31050807370615,1.32376051088857,0.896185342433359
"hetero, lambda=0.1","gamma_5",0.0798114594578769,1.7204630042096,1.29676572074364,1.10898829720018
"hetero, lambda=0.1","gamma_6",0.0940336934015738,1.30917987781232,1.18071045674216,0.937197757029835
"hetero, lambda=0.1","gamma_7",0.104174794306944,1.19887872528733,0.94628243919847,0.948549493080374
"hetero, lambda=0.1","gamma_8",0.0646990605180374,2.20771767258671,1.17992929759807,1.30077236338963
"hetero, lambda=0.1","gamma_9",0.0628729956379913,1.13182004070208,0.703818001218869,0.952505602428642
"hetero, lambda=0.1","gamma_10",0.0330688908205173,1.48918910309677,0.851440822578956,1.21772975292101
