importer,good,nexp_bin,f_bin,final_source,n_exporters,fstat_kp,sigma_pub,sigma_se_pub,sigma_base,boot_n_ok,boot_yield,boot_med,boot_sd,boot_mad_sd,base_source,boot_share_same,boot_share_hliml,boot_share_step2,boot_share_boundary,boot_n_same,boot_med_same,boot_sd_same,boot_mad_sd_same,boot_med_se_same,ratio_sd,ratio_mad,ratio_sd_same,ratio_mad_same,ratio_se_same
796,3904,4-9,F<2,hliml_boundary,4,0.392116065507944,1.8309610879549,0.808802227042554,1.8309610879549,164,0.411027568922306,1.95800469521172,2.23857284814941,0.593166584454306,hliml_boundary,0.878048780487805,0.0670731707317073,0.0548780487804878,0.878048780487805,144,1.93316942535167,1.88139246520509,0.408581421707778,0.755053429564295,2.7677629626898,0.733388910937182,2.32614649453247,0.505168517156273,0.933545191047761
60,7604,4-9,F<2,hliml_boundary,6,1.73104313510036,2.00199265527076,0.600044823708254,2.00199265527076,203,0.508771929824562,4.47804251088026,3.63399876662747,4.30257886901432,hliml_boundary,0.857142857142857,0.0689655172413793,0.0738916256157636,0.857142857142857,174,5.55213583888137,3.68639315816933,5.94680199581664,1.39540258039755,6.0562121745664,7.17042910632001,6.14352963731536,9.91059627690084,2.32549723831299
28,9208,4-9,F<2,hliml_boundary,9,0.61232783542825,3.09611418805357,0.132863269538723,3.09611418805357,303,0.759398496240602,1.85547640312042,2.61663226023256,0.700458678892171,hliml_boundary,0.313531353135314,0.316831683168317,0.36963696369637,0.313531353135314,95,2.14172982485027,3.56108741041701,1.58934166729248,0.441528307531316,19.6941733356182,5.27202650758211,26.8026477353784,11.9622351068914,3.32317809929127
620,7109,4-9,F<2,hliml_boundary,7,0.141705486132587,2.04636138893707,75.7121925053093,2.04636138893707,207,0.518796992481203,10,2.95065738370134,2.63362665009481e-15,hliml_boundary,0.835748792270531,0.0193236714975845,0.144927536231884,0.835748792270531,173,10,2.89187526787049,0,36.367221899391,0.0389720240038541,3.47847098723251e-17,0.0381956349721043,0,0.480335078089843
408,8459,4-9,F<2,hliml_boundary,7,0.77044130600529,3.73509337706009,1.27683527326679,3.73509337706009,215,0.538847117794486,2.6615422623512,2.46008353131658,1.55465204367789,hliml_boundary,0.734883720930233,0.218604651162791,0.0465116279069768,0.734883720930233,158,2.98329274025401,2.69441612205621,1.30398946153596,0.610304286899442,1.92670392400927,1.21758231169499,2.11023001828773,1.02126679050751,0.477982007293685
626,8408,4-9,F<2,hliml_boundary,9,0.974494485092456,1.00794713852519,0.168199492981297,1.00794713852519,269,0.674185463659148,3.04862027197927,3.5252649760968,2.81885185261386,hliml_boundary,0.434944237918216,0.130111524163569,0.434944237918216,0.434944237918216,117,2.04587497301555,3.64278924588183,1.46772866298661,0.387861170681596,20.9588323580072,16.7589794870982,21.6575518826736,8.72611823597958,2.30595921430468
418,0303,4-9,F<2,hliml_boundary,7,0.876093305975593,4.63914414544174,1.28106342393845,4.63914414544174,237,0.593984962406015,4.51430440516548,2.91839714372115,1.84291836470805,hliml_boundary,0.578059071729958,0.392405063291139,0.029535864978903,0.578059071729958,137,8.41470766001049,3.14635223879866,2.35035442326846,1.63255110586412,2.27810511890891,1.43858479624862,2.45604720266359,1.83469013270446,1.27437180342334
570,8414,4-9,F<2,hliml_boundary,5,0.0980279666132701,2.44581382801842,2.01922976938707,2.44581382801842,146,0.365914786967419,2.41013217742189,0.852508530193975,1.06975230827114,hliml_boundary,0.691780821917808,0.308219178082192,0,0.691780821917808,101,2.4317934465537,0.941111936576918,1.35859862582327,0.491202353294524,0.422194909721814,0.529782357852153,0.466074713658064,0.672830128804838,0.243262238275947
417,1201,4-9,F<2,hliml_boundary,5,0.193997037204859,2.99263560951651,0.404166773430459,2.99263560951651,186,0.466165413533835,3.4041723416214,1.80071365727296,0.64582885419531,hliml_boundary,0.602150537634409,0.279569892473118,0.118279569892473,0.602150537634409,112,3.11251283492627,2.1907561022872,0.512740412059666,0.366630251920279,4.45537282045476,1.5979266398217,5.42042603772858,1.26863573595539,0.907126156879301
204,4812,4-9,F<2,hliml_boundary,6,0.91833676166519,1.05190243563678,0.0361591498808874,1.05190243563678,157,0.393483709273183,1.11314252968781,3.07520273047666,0.0945632772470675,hliml_boundary,0.974522292993631,0,0.0254777070063694,0.974522292993631,153,1.10943260807507,3.1090074657944,0.0908245451413251,0.0391481456490463,85.0463227317775,2.61519636270682,85.981210178775,2.51179979176812,1.0826622245823
32,0102,4-9,F<2,hliml_boundary,5,0.517365371940572,1.20559467185174,0.431084274787015,1.20559467185174,265,0.664160401002506,2.21705659996254,2.87531053617422,1.43817574226106,hliml_boundary,0.290566037735849,0.445283018867925,0.264150943396226,0.290566037735849,77,1.29437994945406,3.21863803667809,0.091208072314963,0.400250763395839,6.66994994794189,3.33618233458322,7.46637774775784,0.211578286774729,0.928474516017988
887,3806,4-9,F<2,hliml_boundary,9,0.470739678845183,8.02876989789975,1.03462314491562,8.02876989789975,366,0.917293233082707,5.31682872027804,2.86311815101822,3.78260316913754,hliml_boundary,0.418032786885246,0.259562841530055,0.3224043715847,0.418032786885246,153,6.42305516210929,2.54956977116851,3.07294883632416,1.39903260166826,2.76730533729914,3.65602025020041,2.46424969680766,2.97011414390384,1.35221467695115
180,7226,4-9,F<2,hliml_boundary,8,1.38074695349016,1.67094935374843,0.0370887191099645,1.67094935374843,299,0.74937343358396,1.66210169455811,0.970554378791268,0.122668204883478,hliml_boundary,0.602006688963211,0.341137123745819,0.0568561872909699,0.602006688963211,180,1.63942278473757,0.944643599202599,0.0869675306330501,0.0324381694093494,26.1684523510685,3.30742629638352,25.4698361623603,2.3448512841654,0.874610129111587
152,0509,4-9,F<2,hliml_boundary,4,0.431687689029041,2.29808593454004,0.0220272211446898,2.29808593454004,170,0.426065162907268,2.45576713762121,1.2625439984942,0.514299501183617,hliml_boundary,0.288235294117647,0.264705882352941,0.447058823529412,0.288235294117647,49,2.30708042766652,,,0.0989450337164324,57.3174432762511,23.3483605492198,,,4.49194353960919
174,8707,4-9,F<2,hliml_boundary,8,0.625184442595483,1.50955973033965,0.77974261868,1.50955973033965,264,0.661654135338346,2.15272128970484,2.18220564026597,0.916078549058275,hliml_boundary,0.416666666666667,0.371212121212121,0.212121212121212,0.416666666666667,110,2.04033515120613,2.2157076143986,0.901926186951877,0.432717465236792,2.79862301737483,1.17484734976918,2.84158844382458,1.15669730670707,0.554949100985816
148,3912,4-9,F<2,hliml_boundary,5,0.148058991620813,2.55560311534733,0.889242949091062,2.55560311534733,230,0.576441102756892,2.59497517928406,1.22651011858986,1.22260789639815,hliml_boundary,0.339130434782609,0.473913043478261,0.18695652173913,0.339130434782609,78,2.13228164020181,0.624641538148976,0.453997184178241,0.608957190882199,1.37927449393165,1.37488624188455,0.702441935342251,0.510543473684321,0.68480407014151
174,8705,4-9,F<2,hliml_boundary,7,0.602156535056495,1.03496235243886,0.736772391524325,1.03496235243886,319,0.799498746867168,2.36319655271648,3.58449476534439,1.68943369923703,hliml_boundary,0.510971786833856,0.379310344827586,0.109717868338558,0.510971786833856,163,4.83084595686342,3.98462019369159,5.49415395977225,1.009535565448,4.8651317646802,2.2930198235872,5.40821051321931,7.4570573259474,1.37021361964901
