"regime","formula","n_params","med_ratio","mad_ratio","pct_err"
"homo,   lambda=0","unp_gn",11,0.984300172628715,0.0681912419660992,-1.56998273712854
"homo,   lambda=0","sandwich",11,0.680990758895182,0.162309298021334,-31.9009241104818
"homo,   lambda=0","pen_gn",11,0.984300172628715,0.0681912419660992,-1.56998273712854
"hetero, lambda=0","unp_gn",11,0.975088752405005,0.111799160246281,-2.49112475949949
"hetero, lambda=0","sandwich",11,0.645833550779327,0.10526976784388,-35.4166449220673
"hetero, lambda=0","pen_gn",11,0.975088752405005,0.111799160246281,-2.49112475949949
"homo,   lambda=0.1","unp_gn",11,1.48546296994244,0.283699627340518,48.546296994244
"homo,   lambda=0.1","sandwich",11,1.06736436525279,0.290130852833369,6.7364365252786
"homo,   lambda=0.1","pen_gn",11,1.07879615749193,0.133753602411341,7.87961574919303
"hetero, lambda=0.1","unp_gn",11,1.32666558371709,0.189456796307971,32.6665583717093
"hetero, lambda=0.1","sandwich",11,1.0423437459035,0.238481934249386,4.23437459034988
"hetero, lambda=0.1","pen_gn",11,1.05173316879116,0.152980117608817,5.17331687911644
