"cell_id","sigma_new","omega_new","sigma_stage1"
"100_7204",1.84677606578455,0.548175548324674,4.48256149276323
"112_2805",1.36135666535252,2.83698450370103,2.19556231539912
"12_2505",1.52796898633044,0.711358801689779,2.37418983121962
"124_5209",10,1e-04,5.14050924072691
"140_8309",1.54667695143223,0.35833843087429,5.18059353298768
"144_5205",2.54908695650665,0.309653447084599,3.76384917327289
"152_0304",3.41768380449315,1.26548178969209,3.47959686052224
"152_0909",6.09967823883717,1.64503613307612,24.1388223161201
"152_8203",7.95169196217809,1e-04,2.02431285717276
"156_4811",2.76583987539793,1.15354657041672,13.6039667387338
"156_8604",2.17828650596884,0.0494937620021364,6.23512159280123
"170_2931",10,1.04922493575296,6.2825677730307
"170_7502",1.77092339181847,0.62130958033539,3.38446282127081
"170_9008",2.69283335434854,10,2.85542803615555
"178_8422",1.28965727403572,2.21118028184344,2.12917527230337
"188_5602",5.43757584552766,0.99726159186804,3.61755152402956
"188_7229",1.40982042930814,0.519971294420329,5.11726273607304
"191_6001",5.06225228427419,1e-04,4.52142865340806
"191_6109",2.4566878945411,1.30362567284743,6.96214111674117
"191_6302",4.2936062338214,1e-04,4.31593172187801
"196_7115",8.94389761531157,1e-04,4.10512570944971
"203_6215",2.96357797916621,0.827392831243926,2.87586311819992
"208_7408",6.95910019877393,1e-04,5.77586115871624
"212_1108",1.46807567602704,0.159147142505079,1.75471723799416
"222_5514",3.10262788284124,0.377903003291321,4.69771207260654
"231_3405",10,1e-04,5.76409049875965
"232_9024",2.01492059566226,1e-04,1.71156465841167
"233_1002",10,0.0746272671448539,3.6473732175845
"233_5310",2.44808012286844,1e-04,3.4378655160248
"24_2928",8.32558359354707,3.62405413470975,45.7446121256342
"246_3215",3.50561254842349,1e-04,3.72187674957892
"270_2517",3.77019780007991,2.74184515309159,3.91451860929813
"288_1005",10,1e-04,5.46357765823901
"288_3919",2.93131575074426,1e-04,3.72142741032844
